Designator,Mid X,Mid Y,Rotation,Layer
C1,137.8,-99.6,0.0,top
C10,141.8,-86.175,270.0,top
C11,144.8,-85.975,270.0,top
C12,147.8,-85.975,270.0,top
C13,129.0,-100.0,180.0,top
C14,125.6,-100.8,180.0,top
C15,129.0,-103.4,180.0,top
C16,129.0,-104.6,180.0,top
C17,133.6,-100.4,0.0,top
C18,130.0,-106.6,180.0,top
C19,121.8,-100.0,0.0,top
C2,139.8,-86.175,270.0,top
C3,121.71,-84.8975,0.0,top
C4,116.71,-83.4975,0.0,top
C5,116.71,-84.8975,0.0,top
C6,143.4,-85.975,270.0,top
C7,118.91,-84.8975,0.0,top
C8,131.8,-85.975,90.0,top
C9,146.4,-85.975,270.0,top
D1,136.6,-104.2,270.0,top
D2,117.6,-96.09,90.0,top
D3,118.2,-102.6,90.0,top
D4,114.8,-102.6,90.0,top
D5,148.8,-98.8,0.0,top
D6,141.0,-103.0,0.0,top
FB1,140.8,-83.0,0.0,top
J1,109.84,-91.8,270.0,top
J2,123.0,-78.395,0.0,top
J3,128.2,-78.395,0.0,top
J4,154.7125,-94.0425,180.0,top
J5,149.33,-106.0,90.0,top
J6,113.21,-78.53,0.0,top
J7,117.8,-78.53,0.0,top
JP1,149.395,-77.6,90.0,top
L1,133.4,-104.2,90.0,top
R1,137.69,-101.4,180.0,top
R10,119.8,-96.29,90.0,top
R11,133.0,-107.2,0.0,top
R2,138.0,-86.29,270.0,top
R3,136.6,-86.4,270.0,top
R4,122.5,-86.4,180.0,top
R5,127.4,-85.0,0.0,top
R6,127.4,-83.8,0.0,top
R7,134.0,-85.975,270.0,top
R8,129.0,-102.0,0.0,top
R9,125.6,-99.2,180.0,top
U1,119.05,-87.8625,0.0,top
U2,123.8,-104.6,270.0,top
U3,138.85,-92.6375,90.0,top
