Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0402,2,10nF,
C10,0603,1,1uF,
"C11, C12, C6",0402,3,100nF,
"C13, C17",0805,2,47uF,
C14,0402,1,1800pF,
C15,0402,1,0.01uF,
C16,0402,1,150pF,
C18,0603,1,0.1uF,
"C19, C2, C8",0603,3,4.7uF,
C3,0603,1,10uF,
C4,0402,1,0.1uF,
"C5, C7",0402,2,200pF,
"D1, D3, D4",D_SOD-323F,3,BAT54J,
D2,0402,1,PWR_LED,
"D5, D6",D_SOD-323,2,1N5819WS,
FB1,0402,1,600R,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x01_P2.54mm_Vertical,1,CC1_TP,
J3,PinHeader_1x01_P2.54mm_Vertical,1,CC2_TP,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Debug Port,
J5,PinHeader_1x06_P2.54mm_Vertical,1,UART_Port,
J6,PinHeader_1x02_P2.54mm_Vertical,1,VBUS_JP,
J7,PinHeader_1x02_P2.54mm_Vertical,1,VCONN_JP,
J8,PinHeader_1x02_P2.54mm_Vertical,1,VIN_ENA_JP,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Boot_Jumper,
L1,1008,1,18uH,
"R1, R9",0402,2,10k,
R10,0402,1,1k,
R11,0402,1,5.9k,
"R2, R3, R4",0402,3,4.7k,
R7,0603,1,100k,
R8,0402,1,549R,
U1,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS5420D,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F072CBUx,
